"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1351","test_post_all_products","tests","Sun Aug 24 15:39:31 IST 2025","passed","Sun Aug 24 15:39:32 IST 2025","","test_post_products","",""
"","1385","test_post_verify_login_invalid","tests","Sun Aug 24 15:39:35 IST 2025","passed","Sun Aug 24 15:39:36 IST 2025","","test_post_verify_login_invalid","",""
"","1363","test_put_brands","tests","Sun Aug 24 15:39:39 IST 2025","passed","Sun Aug 24 15:39:40 IST 2025","","test_put_brands","",""
"","1288","test_post_verify_login_invalid_email_parameters","tests","Sun Aug 24 15:39:36 IST 2025","passed","Sun Aug 24 15:39:38 IST 2025","","test_post_verify_login_invalid_parameters","",""
"","1343","test_post_verify_login_invalid_password_parameters","tests","Sun Aug 24 15:39:38 IST 2025","passed","Sun Aug 24 15:39:39 IST 2025","","test_post_verify_login_invalid_parameters","",""
"","1347","test_post_create_account","tests","Sun Aug 24 15:39:18 IST 2025","passed","Sun Aug 24 15:39:19 IST 2025","","test_account","",""
"","1305","test_get_all_brands","tests","Sun Aug 24 15:39:27 IST 2025","passed","Sun Aug 24 15:39:28 IST 2025","","test_get_brands","",""
"","1403","test_delete_account","tests","Sun Aug 24 15:39:24 IST 2025","passed","Sun Aug 24 15:39:26 IST 2025","","test_account","",""
"","1889","test_get_user_detail","tests","Sun Aug 24 15:39:19 IST 2025","passed","Sun Aug 24 15:39:21 IST 2025","","test_account","",""
"","1521","test_delete_verify_login","tests","Sun Aug 24 15:39:26 IST 2025","passed","Sun Aug 24 15:39:27 IST 2025","","test_delete_verify_login","",""
"","1303","test_post_product_without_search","tests","Sun Aug 24 15:39:30 IST 2025","passed","Sun Aug 24 15:39:31 IST 2025","","test_post_product_without_search","",""
"","1318","test_post_verify_login","tests","Sun Aug 24 15:39:34 IST 2025","passed","Sun Aug 24 15:39:35 IST 2025","","test_post_verify_login","",""
"","1325","test_post_search_products","tests","Sun Aug 24 15:39:32 IST 2025","passed","Sun Aug 24 15:39:34 IST 2025","","test_post_search_products","",""
"","1315","test_get_all_products","tests","Sun Aug 24 15:39:28 IST 2025","passed","Sun Aug 24 15:39:30 IST 2025","","test_get_products","",""
"","2903","test_put_update_account","tests","Sun Aug 24 15:39:21 IST 2025","passed","Sun Aug 24 15:39:24 IST 2025","","test_account","",""
